Date,Open,High,Low,Close,Adj Close,Volume,MktRF,SMB,HML,RF,Yest_Close,stock_return
2018-01-03,132.0,133.25,131.74000549316406,132.91000366210938,132.91000366210938,1580900,0.59,-0.39,-0.19,0.006,131.72999572753906,0.008957777065528468
2018-01-04,133.8800048828125,135.08999633789062,133.77999877929688,133.85000610351562,133.85000610351562,1361900,0.42,-0.26,0.25,0.006,132.91000366210938,0.007072473218765176
2018-01-05,134.9499969482422,135.1300048828125,133.89999389648438,135.00999450683594,135.00999450683594,1183000,0.66,-0.35,-0.25,0.006,133.85000610351562,0.00866633059712535
2018-01-08,135.0500030517578,136.08999633789062,134.8699951171875,135.3000030517578,135.3000030517578,1337200,0.19,-0.15,0.04,0.006,135.00999450683594,0.0021480524162764193
2018-01-09,135.64999389648438,136.39999389648438,134.6199951171875,135.4499969482422,135.4499969482422,1305800,0.15,-0.35,-0.04,0.006,135.3000030517578,0.0011086023141255671
2018-01-10,134.9600067138672,136.41000366210938,134.36000061035156,136.22999572753906,136.22999572753906,1903700,-0.07,0.06,0.56,0.006,135.4499969482422,0.0057585736203074715
2018-01-11,136.58999633789062,137.77999877929688,136.24000549316406,137.5800018310547,137.5800018310547,1515700,0.87,1.14,0.3,0.006,136.22999572753906,0.009909756631099413
2018-01-12,137.63999938964844,139.05999755859375,137.0800018310547,138.19000244140625,138.19000244140625,1199700,0.66,-0.32,0.16,0.006,137.5800018310547,0.004433788357559628
2018-01-16,141.32000732421875,141.66000366210938,139.2100067138672,139.7899932861328,139.7899932861328,3150300,-0.49,-1.02,0.01,0.006,138.19000244140625,0.011578195357547463
2018-01-17,140.8300018310547,140.92999267578125,139.0,140.7899932861328,140.7899932861328,1775400,0.95,-0.03,-0.1,0.006,139.7899932861328,0.007153587867717568
2018-01-18,140.75,141.47999572753906,140.0,141.1300048828125,141.1300048828125,1292800,-0.18,-0.5,-0.25,0.006,140.7899932861328,0.0024150267269966346
2018-01-19,141.22999572753906,142.52000427246094,141.02000427246094,142.27000427246094,142.27000427246094,1605200,0.57,0.94,-0.05,0.006,141.1300048828125,0.008077654291835656
2018-01-22,142.3300018310547,144.0800018310547,141.75999450683594,143.89999389648438,143.89999389648438,1379500,0.77,-0.34,-0.16,0.006,142.27000427246094,0.011457015358640521
2018-01-23,144.58999633789062,144.99000549316406,143.55999755859375,144.42999267578125,144.42999267578125,1374400,0.22,0.14,-0.36,0.006,143.89999389648438,0.003683104946329142
2018-01-24,144.4199981689453,146.6699981689453,144.3699951171875,145.44000244140625,145.44000244140625,1432500,-0.13,-0.84,0.44,0.006,144.42999267578125,0.006993074962568793
2018-01-25,146.88999938964844,146.89999389648438,145.4199981689453,145.5399932861328,145.5399932861328,1220700,0.07,0.14,-0.54,0.006,145.44000244140625,0.0006875057965352142
2018-01-26,147.16000366210938,149.82000732421875,146.3800048828125,149.74000549316406,149.74000549316406,1474600,1.11,-0.6,-0.51,0.006,145.5399932861328,0.028858131103345536
